ID,Name,Two Nights Cost USD,Location,Area,Rating,Reviews,Free_Cancellation,Free_Valet_Parking,Free_Breakfast,Free_WiFi,Fitness_Centre,Swimming_pool,Health_club,Bar,lon,lat
42,San Francisco Marriott Marquis,498.58,Union Square Area San Francisco,San Francisco,4,Very Good,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.4044068,37.7853366
43,InterContinental Mark Hopkins,492.73,Nob Hill San Francisco,San Francisco,4,Very Good,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-122.4103924,37.7915528
44,"Marriott Vacation Club Pulse, San Francisco",488.58,Fishermans Wharf San Francisco,San Francisco,3.5,Very Good,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.4167674,37.8054325
45,Marina Inn,486.57,Fishermans Wharf San Francisco,San Francisco,3,Average,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.4292567,37.80100608
46,The Clift Royal Sonesta Hotel,485.68,Union Square Area San Francisco,San Francisco,4,Very Good,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.4112871,37.7867731
47,Marriott Courtyard San Francisco Downtown,484.32,Moscone Convention Center San Francisco,San Francisco,4,Very Good,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,-122.396865,37.7859237
48,Stanyan Park Hotel,483.37,Conservatory of Flowers San Francisco,San Francisco,3.5,Very Good,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-122.4531289,37.7681367
49,Yale Hotel,480.57,Union Square Area San Francisco,San Francisco,1.5,Poor,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-122.4175579,37.78407096
50,Hotel Zoe Fisherman's Wharf,478.56,Fishermans Wharf San Francisco,San Francisco,4,Very Good,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-122.4141175,37.8063374
51,Inn At The Opera,474.85,Civic Center San Francisco,San Francisco,4,Very Good,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.4222545,37.7787601
52,Grand Hyatt San Francisco Union Square,466.76,San Francisco Museum of Modern Art San Francisco,San Francisco,4,Very Good,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-122.4072161,37.7891412
53,Hotel Zelos San Francisco,460.54,Union Square Area San Francisco,San Francisco,4,Very Good,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.4059514,37.7854518
54,Stanford Court San Francisco,441.52,Nob Hill San Francisco,San Francisco,4.5,Excellent,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-122.4096137,37.7917912
55,InterContinental San Francisco,440.7,Union Square Area San Francisco,San Francisco,4,Very Good,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.4047337,37.781973
56,White Swan Inn,439.72,Union Square Area San Francisco,San Francisco,4.5,Excellent,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.4111734,37.78974467
57,Hotel Bijou,435.66,Union Square Area San Francisco,San Francisco,3.5,Very Good,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.4095759,37.7845106
58,Axiom Hotel San Francisco,430.72,Union Square Area San Francisco,San Francisco,4.5,Excellent,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.4081828,37.7848941
59,Executive Hotel Vintage Court,430.71,Union Square Area San Francisco,San Francisco,3.5,Very Good,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.4080831,37.7903751
60,Courtyard by Marriott San Francisco Downtown/Van Ness Ave.,429.51,San Francisco City Hall San Francisco,San Francisco,4,Very Good,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-122.4208442,37.7855464
61,Holiday Inn San Francisco-Fisherman's Wharf,417.73,Ghirardelli Square San Francisco,San Francisco,3.5,Very Good,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.4163994,37.8063575
62,The Marker San Francisco,414.48,Union Square Area San Francisco,San Francisco,4,Very Good,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,-122.4119065,37.7866571
